ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
45815383,627,777,LEXUS,IS 250,2014,Sedan,Yes,Petrol,2.5,126021 km,6.0,Automatic,Rear,04-May,Left wheel,White,12
45792176,28225,-,LEXUS,CT 200h,2014,Hatchback,Yes,Hybrid,1.8,134131 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
45655165,627,1360,LEXUS,GX 460,2013,Jeep,Yes,Petrol,4.6,243467 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
45808725,4547,1055,LEXUS,RX 350,2013,Jeep,Yes,Petrol,3.5,258784 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,12
43889777,97219,-,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,57000 km,8.0,Automatic,4x4,04-May,Left wheel,White,12
45757290,941,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,260771 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45793599,26030,-,LEXUS,CT 200h 1.8,2013,Sedan,Yes,Hybrid,1.8,75000 km,4.0,Tiptronic,Front,04-May,Left wheel,White,12
45770116,81539,1935,LEXUS,GX 460,2016,Jeep,Yes,Petrol,4.6,155976 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
45656138,11917,690,LEXUS,RX 450,2016,Jeep,Yes,Hybrid,3.5,59858 km,6.0,Automatic,Front,04-May,Left wheel,Silver,12
45642769,470,1493,LEXUS,RX 350,2016,Jeep,Yes,Petrol,3.5,118133 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
45759235,6272,1360,LEXUS,GX 470,2013,Jeep,Yes,Petrol,4.6,202651 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45651894,314,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,382746 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
45763908,73071,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,188078 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45762409,1725,585,LEXUS,CT 200h,2013,Hatchback,Yes,Hybrid,1.8,188194 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
45653232,2509,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,315270 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,12
45444840,28539,-,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,192000 km,4.0,Automatic,Front,04-May,Left wheel,Black,8
45760886,470,831,LEXUS,HS 250h,2011,Sedan,Yes,Hybrid,2.4,0 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12
45757731,6743,397,LEXUS,CT 200h,2016,Hatchback,Yes,Hybrid,1.8,71904 km,4.0,Automatic,Front,04-May,Left wheel,White,0
45451302,20385,1750,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.3,182000 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,10
43719163,23050,586,LEXUS,CT 200h,2012,Hatchback,Yes,Hybrid,1.8,172346 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
45656474,1019,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038 km,6.0,Automatic,Front,04-May,Left wheel,White,12
45757320,15681,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240 km,8.0,Automatic,4x4,04-May,Left wheel,Silver,0
45434036,48296,1055,LEXUS,RX 350,2013,Jeep,Yes,Petrol,3.5,92000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Silver,12
45813971,14269,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,0
45455263,16935,645,LEXUS,CT 200h,2011,Sedan,Yes,Hybrid,1.8,158000 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,8
45654517,1019,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038 km,6.0,Automatic,Front,04-May,Left wheel,White,12
36684373,90,-,LEXUS,HS 250h,2011,Sedan,Yes,Hybrid,2.5,85000 km,4.0,Automatic,Front,04-May,Left wheel,White,8
45763736,81539,1935,LEXUS,GX 460,2016,Jeep,Yes,Petrol,4.6,155976 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
45772722,157,1363,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,189704 km,8.0,Automatic,4x4,04-May,Left wheel,Grey,0
45125944,62408,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,133000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Silver,10
45655631,13328,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
45813301,7683,891,LEXUS,IS 200,2016,Sedan,Yes,Petrol,2,64341 km,4.0,Automatic,Rear,04-May,Left wheel,White,12
45490304,89379,1356,LEXUS,GX 460,2014,Jeep,Yes,Petrol,4.6,127250 km,8.0,Tiptronic,4x4,04-May,Left wheel,White,12
45760164,31988,1935,LEXUS,GX 460,2016,Jeep,Yes,Petrol,4.6,155976 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
45804387,32954,1514,LEXUS,LS 460,2011,Sedan,Yes,Petrol,4.6,195303 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
